勝ち,3
顔,4
アニメ,2
の,28
何,8
オーイシ,2
いい女,2
再使用,2
T,4
作品,2
星,4
こと,12
日,2
大丈夫,3
金,3
可能性,2
一,2
時点,3
それ,6
UB,2
ヶ月,2
上限,2
攻撃,2
例,3
カス,3
男,2
アーーー,2
スライド,4
当分,2
涙,3
物件,2
よう,2
め,4
節,3
数,4
これ,12
最大,2
闇,4
感情,3
時間,8
キタニタツヤ,2
るか,3
やつ,7
西尾維新,2
ぎお,2
ところ,2
youtube,2
可能,2
鬱,2
沼,2
みんな,4
広告,2
全部,2
なごや,3
明日,3
時,7
無理,3
最後,2
玉,2
軒,2
水,3
誰,2
昼飯,2
問題,5
個,2
感じ,7
好き,12
卒研,5
最高,2
効果,2
絶対,4
グ,4
完全,3
卍,2
2,6
私,16
存在,2
後,3
なん,2
話,2
方,5
最強,4
今日,2
腹,2
多段,2
ストレス,2
ベース,2
流石,2
わからん,3
俺,2
ダメ,2
貝,3
ツイート,3
マジで,5
ゴリ,2
熱,3
お願い,2
最近,2
もの,2
近く,2
努力,2
めちゃくちゃ,6
Twitter,5
こっち,3
目,3
とこ,2
精神,2
チェンソーマン,3
？？？,3
ん,40
助言,2
十天,2
気,7
人,4
ヘイロー,2
ー,2
kagaminn,2
しよう,2
別,2
15%,2
周り,2
自体,2
グラブル,5
みたい,4
TA,2
さん,7
公式,2
3,6
ラスト,2
アレ,3
弟,3
手,3
微妙,5
全体,3
石,2
感謝,4
後悔,2
スマホ,2
あと,2
意味,2
オタク,4
前,4
アビ,3
対戦,2
さ,2
風呂,2
よろしくお願いします,5
お前,4
衆,2
1,7
マジ,2
体,3
適当,3
今,7
ヤバい,3
夏,2
進捗,2
自分,3
そう,6
